"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Oct., 2021","2021/10",216,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Nov., 2021","2021/11",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Endocrine, nutritional and metabolic diseases","E00-E89","Male","M","Dec., 2021","2021/12",172,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Jan., 2021","2021/01",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Feb., 2021","2021/02",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Mar., 2021","2021/03",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Apr., 2021","2021/04",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","May, 2021","2021/05",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Jun., 2021","2021/06",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Jul., 2021","2021/07",64,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Aug., 2021","2021/08",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Sep., 2021","2021/09",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Oct., 2021","2021/10",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Nov., 2021","2021/11",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Female","F","Dec., 2021","2021/12",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Jan., 2021","2021/01",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Feb., 2021","2021/02",150,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Mar., 2021","2021/03",167,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Apr., 2021","2021/04",175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","May, 2021","2021/05",158,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Jun., 2021","2021/06",164,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Jul., 2021","2021/07",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Aug., 2021","2021/08",207,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Sep., 2021","2021/09",192,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Oct., 2021","2021/10",183,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Nov., 2021","2021/11",191,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mental and behavioural disorders","F01-F99","Male","M","Dec., 2021","2021/12",147,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Jan., 2021","2021/01",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Feb., 2021","2021/02",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Mar., 2021","2021/03",48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Apr., 2021","2021/04",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","May, 2021","2021/05",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Jun., 2021","2021/06",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Jul., 2021","2021/07",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
